水位(m),库容(百万m3),E,水位(m)    ,流量 (m3/s)
120 ,1760 ,0 ,89 ,100 
121 ,1950 ,16413 ,89 ,200 
122 ,2150 ,34234 ,89 ,300 
123 ,2350 ,52601 ,90 ,400 
124 ,2550 ,71512 ,90 ,500 
125 ,2780 ,93887 ,90 ,600 
126 ,3020 ,117889 ,90 ,700 
127 ,3280 ,144599 ,90 ,800 
129 ,3840 ,204419 ,90 ,900 
130 ,4120 ,235473 ,90 ,1000 
131 ,4410 ,268426 ,90 ,1100 
132 ,4700 ,302170 ,90 ,1200 
133 ,5000 ,337895 ,91 ,1300 
134 ,5330 ,378091 ,91 ,1400 
135 ,5670 ,420432 ,91 ,1500 
136 ,6060 ,470063 ,91 ,1600 
137 ,6450 ,520756 ,91 ,1700 
138 ,6840 ,572512 ,91 ,1800 
139 ,7230 ,625330 ,91 ,1900 
140 ,7650 ,683356 ,91 ,2000 
141 ,8100 ,746754 ,91 ,2100 
142 ,8550 ,811377 ,91 ,2200 
143 ,9000 ,877227 ,91 ,2300 
144 ,9500 ,951755 ,91 ,2400 
145 ,10000 ,1027647 ,91 ,2500 
146 ,10500 ,1104900 ,92 ,2600 
147 ,11020 ,1186661 ,92 ,2700 
148 ,11540 ,1269839 ,92 ,2800 
149 ,12100 ,1360941 ,92 ,2900 
150 ,12690 ,1458532 ,92 ,3000 
151 ,13320 ,1564455 ,92 ,3100 
152 ,13980 ,1677221 ,92 ,3200 
153 ,14660 ,1795257 ,92 ,3300 
154 ,15350 ,1916909 ,92 ,3400 
155 ,16050 ,2042232 ,92 ,3500 
156 ,16750 ,2169462 ,92 ,3600 
157 ,17450 ,2298600 ,92 ,3700 
158 ,18220 ,2442750 ,92 ,3800 
159 ,19000 ,2590897 ,92 ,3900 
160 ,19820 ,2748876 ,92 ,4000 
161 ,20640 ,2909090 ,92 ,4100 
162 ,21460 ,3071538 ,92 ,4200 
163 ,22350 ,3250279 ,92 ,4300 
164 ,23250 ,3433481 ,92 ,4400 
165 ,24160 ,3621198 ,92 ,4500 
166 ,25100 ,3817665 ,92 ,4600 
167 ,26050 ,4018811 ,93 ,4700 
168 ,27000 ,4222546 ,93 ,4800 
169 ,28000 ,4439728 ,93 ,4900 
170 ,29050 ,4670631 ,93 ,5000 
171 ,30140 ,4913300 ,93 ,5100 
172 ,31250 ,5163447 ,93 ,5200 
173 ,32360 ,5416619 ,93 ,5300 
174 ,33500 ,5679739 ,93 ,5400 
175 ,34670 ,5952972 ,93 ,5500 
176 ,35840 ,6229394 ,93 ,5600 
177 ,37010 ,6509003 ,93 ,5700 
178 ,38250 ,6808720 ,93 ,5800 
179 ,39500 ,7114261 ,93 ,5900 
